No,Nama Pose,Sudut Kamera,Deskripsi Pose,Detail Unik (Diferensiasi),Energi
20,The Slumped Defeat,Eye level 3/4,Terduduk lemas bersandar pada dinding. Kaki terjulur lurus ke depan.,"Dagu ke dada, mata terpejam. Kesan 'anti-hero' yang kelelahan setelah aksi.",LOW
21,The Diagonal Reach,High Angle,"Berdiri miring, satu tangan menjangkau diagonal ke arah kamera di sudut bawah bingkai.",Memecah garis vertikal badan dengan jangkauan tangan yang miring tajam.,HIGH
22,The Focused Squat,Ground level,Jongkok penuh (flat feet). Lengan bertumpu di lutut. Tatapan tajam lurus ke lensa.,Tangan mengepal atau clasped. Pose siap beraksi (alert).,MEDIUM
23,The Vulnerable Float,Top-down (90 degrees),Berbaring telentang di lantai. Lengan dan kaki terbuka lebar.,Kepala menoleh sedikit ke kamera. Kesan terbuka dan rentan.,MEDIUM
24,The Isolated Shoulder Pop,Eye level front,"Berdiri tegak, kaki lebar. Satu bahu diangkat sangat tinggi menutupi sebagian rahang.",Kepala miring ke bahu yang rendah. Garis asimetris yang tajam pada torso.,MEDIUM
25,The Territorial Expansion,Low angle,Kaki terbuka sangat lebar. Lengan direntangkan penuh ke samping bawah (45 derajat).,Menguasai ruang maksimal dalam bingkai. Tatapan merendahkan ke kamera.,HIGH
26,The Soft Temple Touch,Eye level front,Satu tangan menyentuh pelipis/rambut. Kepala miring ke arah tangan tersebut.,Ekspresi lembut namun percaya diri. Fokus pada detail wajah/beauty.,LOW
27,The Reclined Luxury,Eye level 3/4,Bersandar miring di dinding (45 derajat). Satu kaki ditekuk menempel dinding.,Satu lengan di atas kepala bersandar di dinding. Kesan santai yang mewah.,LOW
28,The Rhythmic Sway,Ground level,"Pinggul didorong ke satu sisi, kepala miring ke arah berlawanan. Pose seolah menari.",Lengan dibiarkan menggantung lemas mengikuti irama gerakan tubuh.,MEDIUM
29,The Purposeful Lean,Eye level front,Membungkuk ke arah kamera dengan tangan di paha. Berat badan condong ke depan.,"Dagu ditarik masuk, mata menatap tajam dari bawah alis.",MEDIUM
30,The Finale (Stillness),Eye level front,"Berdiri tegak sempurna, kaki rapat, tangan di samping tubuh tanpa tegangan.",Tanpa gerakan sama sekali. Biarkan pakaian yang berbicara. Tatapan kosong/blank.,STILL
